,1,2,3,4,5,6,7,8,9,10
Nutlin-3,0.06951987751985887,0.01343079788944438,-0.008785637423172985,0.06086219146849944,-0.04533248274794846,0.04190960552759548,0.020586939119333184,0.062141408172185914,0.08663296259582541,0.0035709288173980894
Nilotinib,0.06457168036585424,-0.0026104431735848336,-0.007274893788919031,0.06924932534831561,-0.055963863358937924,-0.022891985450805927,-0.03857053696832787,0.050508456022328924,0.049122767266118944,0.04976556374833676
RAF265,0.023744273392510562,0.026104095427357685,0.00677616990041275,-0.000285736898127275,-0.03214510453160589,0.01826140810616645,-0.057670841751583615,0.02723044843257636,-0.031872509122572217,-0.02359063623567077
PHA-665752,0.03874416046402968,0.015245099453925813,-0.024854314670074897,0.059003317820372755,-0.07545685863906429,0.03444291855867373,0.03208537726260425,0.03659032325745128,0.08510698861544483,0.03643284983856406
PD-0325901,-0.015182061034019086,-0.029856035452080248,0.05275527895948557,-0.11809581287605864,0.036631035194979886,0.025397623015326432,-0.08556412913319565,-0.10515222318942478,-0.07432478692930108,-0.015332474820649755
PLX4720,0.030320728728023078,-0.008441789180609005,0.049316349026023165,-0.018926059655736793,-0.06079838697323315,-0.03278384575472906,0.027651227753063362,-0.024342686840579587,-0.0032987386114340946,-0.024203388884684936
PD-0332991,0.03670010622109462,-0.05080549050898574,-0.010233862805414756,0.023359613267466963,-0.06379844005091095,0.016640852816741256,0.0510610932335853,-0.014749735764800776,0.06916372238247114,-0.0226765348479096
LBW242,0.05156816945985564,-0.007270422988812949,0.04510494942366294,0.023960713665391407,0.019653278665879254,-0.051131121340321994,-0.015569698630419584,-0.032544686598691384,-0.002850265490905814,-0.029430473600532907
AEW541,-0.01623599122190767,-0.014082265608794354,-0.04585483495515821,0.008350541658186727,0.014518100718546671,-0.017093034850564435,-0.0038877585924895954,-0.042558702462198957,0.008138357003196536,0.039988769724721714
TAE684,-0.02220172549145024,0.00700761400180644,-0.04344313065014749,0.008712172523739101,-0.01027246403498269,-0.021616155989356716,0.002020670143482036,-0.04892680200063644,0.026231354344196406,-0.05333803234903571
TKI258,0.014308241243532825,-0.028049518650928237,0.02177049970256367,0.04616977804264264,-0.038086167983800365,0.019811097584842004,0.00745429534052555,0.015860622329929682,-0.034632858420384695,0.0325808350843377
AZD0530,-0.023318826558209507,0.02165285244586746,0.021972383275152538,-0.048246302287312144,0.07052224078754761,-0.014870758899454347,0.012089915852468297,-0.00641298456422065,0.04480971164133556,0.014082086422763259
Lapatinib,0.011032870204867803,-0.006441983587631622,0.05235382191216393,-0.01912958708968556,0.03182224979608195,0.001725452839654201,-0.07620438363643582,-0.03636073444974575,0.027836198139672693,-0.01999066673370736
PF2341066,0.03571397002270249,-0.012022633069329245,-0.050584137125955574,-0.002087298595158744,-0.010205402864867983,0.025303760430064347,0.015501140237884787,0.02886743772875151,0.024148662649249468,-0.0037352695013822984
Sorafenib,0.1109934580445379,-0.022386393911918198,-0.01972097001976412,0.08021715776773303,0.015680617153296182,0.053600362997497666,-0.028250347117940427,0.06380409194296331,0.060831336759261494,0.0717078983442732
L-685458,0.05011796425893524,0.024069090912060786,-0.06050055963897544,0.08024199657434519,-0.07217257143175876,0.06540394107316326,0.05978250071211047,0.04250121519250117,0.04138592594470841,-0.015081712964439222
AZD6244,0.05791476756330821,-0.02276522024865966,0.036093522860883194,0.011959127054674237,0.043298092119500205,0.050123990339103176,-0.07626221033146388,-0.05002322433891606,0.010390695108701794,-0.019083699240147918
ZD-6474,-0.0035211355231463165,-0.05408087101946893,-0.03313296360243149,-0.05807645705547367,0.053927622563332785,-0.024476780941623887,-0.03455984830897898,0.03983532785250715,0.026299128223115826,-0.04952555045687482
Erlotinib,-0.04262766365780659,-0.002568434817904537,0.014164549920089867,-0.0528585188193621,0.080138080630634,0.001595675956100981,-0.01939931987925293,-0.0092282080425307,0.03389429138728835,-0.016341677920123754
