,1,2,3,4,5,6,7,8,9,10
MEG01_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,0.27045165392758913,-0.015375536520401644,-0.05352086997167389,0.2897517641939411,-0.22269165601745172,0.2127917064053215,0.02931751554201843,0.16237737948499925,0.16033623307545042,0.08240201022424534
PC3_PROSTATE,-0.44949725514026384,0.0858347973274101,0.22853755488750924,-0.3399430065428958,0.2717285870313762,-0.27427170204443957,-0.2057232711162252,-0.2504526426560848,-0.36099188449503244,-0.04347988029173676
SW900_LUNG,-0.4157545682171425,0.07643636864206427,0.20731835844497581,-0.41736957219253534,0.36287169921822265,-0.27198314310956656,-0.2596131065052739,-0.22693405355016394,-0.4908498587662031,-0.1619448631165594
NCIH2030_LUNG,-0.4580056662133404,0.03924743099293161,0.05809994542984362,-0.3491100549673057,0.21199268240428565,-0.20752934577091603,-0.08223314949736536,-0.0805935161928032,-0.28955569009561644,-0.10505978457834626
PK59_PANCREAS,-0.04034678148690906,-0.05274429090431919,0.1539037693318685,-0.25597096789548807,0.24663045265897113,-0.02840936233102552,-0.17554151472420415,-0.2374090243514473,0.04813490872048773,-0.057195093318679335
COLO741_SKIN,-0.018840657978978437,0.039390028742112324,0.2392378088791114,-0.05319509595523626,-0.144725714474149,-0.005325578746760429,-0.015919820020119338,-0.22525874517871006,-0.21706805031998722,-0.06285032962466253
NCIH1355_LUNG,-0.4665144848279842,0.036407305474994434,0.06583045947066955,-0.3161113983503256,0.16605954622297808,-0.16774383376205945,-0.08842174108392384,-0.04472009256733393,-0.20507673201198384,-0.13012903492935624
NCIH3255_LUNG,-0.32041610525868514,0.05428861850255225,0.06981487460953471,-0.21012230797335107,0.30053623993044204,-0.28992300869236426,-0.005288963216157391,-0.013008730036055627,-0.10017120682576743,-0.020529503792476846
OE33_OESOPHAGUS,0.1200551364197735,-0.12511640410623637,-0.04291517146429791,-0.10878051639037625,0.1947627362635149,0.05602949331486367,-0.14447396758593828,-0.2186380986645468,-0.004556657799965551,0.12386642987416203
KYSE140_OESOPHAGUS,-0.2247626364525633,-0.04731462333882136,-0.07436777022454236,-0.059229290770217005,0.16997061394193852,-0.04161020996057297,-0.018931967932656966,0.045501376992762396,-0.06973488488310223,-0.10079316789743337
MIAPACA2_PANCREAS,-0.04544160732014289,-0.03285531812464805,0.02862464667751303,-0.14600023018429137,0.13244539531537622,0.07144502411058137,-0.1275838505562918,-0.010793860894910363,-0.10905078023241911,0.05235971481637567
EFO27_OVARY,-0.411504125951417,0.04731218319887614,0.22394264733509192,-0.5370846850887467,0.29409352020210766,-0.17214228026615874,-0.2124172883305988,-0.2303029236062468,-0.34964519166021857,-0.14960614366647984
697_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,0.6678973443159928,-0.0344774140016359,-0.33175621966200197,0.6520546647388805,-0.4862778192620127,0.36107843139793505,0.22023434944517428,0.41233276837561533,0.4748122169054861,0.14890850412487985
HCC4006_LUNG,-0.060719427269870806,-0.04654749008377259,-0.02129181227967683,-0.09648533516627707,0.17717383268575926,-0.10241436573287749,-0.008382443521321907,-0.09989744703622505,0.02237746626428603,0.08978614022758105
MHHES1_BONE,0.3492485754012021,-0.0777625549410237,-0.21897786910769024,0.44276208959295177,-0.2924214947303218,0.13998487094473588,0.3335219395645625,0.3927278863156727,0.493221960694211,0.12026847796144186
HOS_BONE,-0.15235301815262509,0.0023615409092122147,-0.11970411294460301,-0.10815190563179575,-0.030198437041198987,0.03540740880724052,-0.02525665360314367,0.0361140966506903,-0.19428399510998154,-0.13536560297690475
SKNFI_AUTONOMIC_GANGLIA,0.1345503654292557,0.05809754267082856,-0.12067403492386858,0.25230870389686105,-0.2115798879540141,0.12384045805395685,0.2476706204405126,0.14551480668346972,0.12454868345481482,-0.020059337035547027
WM2664_SKIN,-0.008352954305695093,0.014660545154916972,0.12488573492353566,-0.10934307748469134,-0.1805800211784544,-0.049825019301337245,-0.008749632117822675,-0.03305525843890557,-0.24657886310788554,-0.04949395420918949
NCIH2023_LUNG,-0.49949857982403667,0.03168538653587405,0.08826396516337251,-0.3741698581978891,0.3250283447916323,-0.15937507079949756,-0.19283791760738084,-0.16172659945379378,-0.3230985092889065,-0.17382904506984803
SCC25_UPPER_AERODIGESTIVE_TRACT,-0.3770799003787882,-0.0018964450162584998,-0.010527749369259843,-0.21651783148325532,0.2436388492393362,-0.23430122221652527,-0.027949328950964893,-0.03155151416597059,-0.12327323902450074,-0.05430537079350935
EBC1_LUNG,-0.20247112628085884,0.02588308572174605,0.04033915379584295,-0.2585029464608919,0.15596140996499214,-0.06412785340947806,-0.2563749351961484,-0.16440381961155137,-0.27937017403132974,-0.058531930448697415
HCT116_LARGE_INTESTINE,0.08364122159991697,-0.08690139685601357,0.0618014870549768,-0.22343835994488698,0.1550029302794749,0.18942101448691126,-0.3631992786959819,-0.2077074712836643,-0.21664129291810236,-0.04677113484916713
HS936T_SKIN,-0.17932454106741386,0.14074728563500724,0.13743052566005493,-0.06656884033750532,-0.15733352467620498,-0.029710023114884368,0.016593280004142424,-0.15074120563478427,-0.2718288930026917,-0.006406188336038891
1321N1_CENTRAL_NERVOUS_SYSTEM,-0.26251446187202265,-0.02886460189355108,0.006129037720630021,-0.16623232256317072,0.023716979996239153,-0.07517293166348936,-0.05510026585320398,-0.03778998843967981,-0.34482317607798607,-0.10283945272562832
5637_URINARY_TRACT,-0.33842857173383134,0.15904310069816435,0.15839496961468097,-0.3843162960969323,0.25531131818275715,-0.1788354032998704,-0.22871024953588343,-0.27933436649467375,-0.4749933980438569,-0.18066878143033477
MFE280_ENDOMETRIUM,-0.11043950003894035,0.09910485324781022,0.04489515183900716,-0.0513472431690688,0.10853483942367041,-0.1246830615445125,0.04900941969829121,0.04110864923086032,-0.0668949430108727,-0.05491734083277504
HUPT4_PANCREAS,-0.07836118156288367,-0.11541308742915374,0.14847539668562576,-0.2995140246197622,0.3726873240032193,-0.0759809692771014,-0.3121426444772442,-0.22840065525503891,-0.11631688315363652,-0.08832638557160778
HEC6_ENDOMETRIUM,-0.16013928523554283,0.04151906330127096,0.007664672764004697,-0.09849505708521518,0.05243057336692719,0.00602319694368534,-0.07599811131852581,-0.06573103443396992,-0.14056639315175323,-0.010366839020622715
NCIH522_LUNG,0.056930899241733036,0.008582200970027959,0.04570255024266719,-0.053289397604607935,-0.11164877370853084,0.14003781873333823,0.03730524931445705,0.04420264514718789,0.09370039821269152,0.13804322361470858
MONOMAC1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,0.4612387315210537,-0.010001205059744944,-0.17342008947318338,0.5605849145576228,-0.436437856374968,0.14064314201291941,0.30058137979249694,0.3778015427461671,0.4594109391583029,0.14744222424449432
CHL1_SKIN,-0.05421223160729467,0.08249964919324124,0.08358786924763947,-0.009280364044542147,-0.1577382506278553,-0.06922533728438843,0.03653321856784446,-0.06822846942918377,-0.1382419707171757,-0.10163526436829795
CAL27_UPPER_AERODIGESTIVE_TRACT,-0.2908429678787446,-0.05494958235335267,0.1490535088398203,-0.380223375407335,0.3801794503452327,-0.2595667000152706,-0.1958251349694413,-0.17482654712713358,-0.06825905267514011,-0.09577981804599156
KCL22_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,0.4373476638517912,-0.04886796411683385,-0.28063634059570725,0.5776689942443388,-0.40874511976195926,0.20225461242910808,0.29411445228129857,0.3511083134405013,0.3789481668946946,0.13614036188377904
DBTRG05MG_CENTRAL_NERVOUS_SYSTEM,-0.2522201885936859,0.044732359609797864,0.27229429554386875,-0.39805079975469293,0.09072478770844258,-0.11078065733137099,-0.15230077237448222,-0.3050793884829324,-0.33223941484712777,-0.16933693348355233
HT1080_SOFT_TISSUE,-0.2399983660439452,0.019689592023536463,0.08752653324022919,-0.2830712873448066,0.07370923669718167,-0.07687978103239687,-0.14864912884921566,-0.23106683727743732,-0.4256581146918758,-0.15757823930790427
WM1799_SKIN,0.053839591709226184,0.025027611678176867,0.0011458375496743792,0.06572148684102505,-0.2852398391841885,0.02325802055568161,0.059655212409684695,-0.0017899242162916183,-0.16769412546319284,-0.010815707690116892
YKG1_CENTRAL_NERVOUS_SYSTEM,-0.10305812920217924,0.022403418027482552,0.12075487780495317,-0.08335080659511099,-0.1414619014635178,-0.055940671449671076,0.050825404401965424,-0.06742048557071999,-0.22471773703128256,0.015218690593528122
HT1376_URINARY_TRACT,-0.282224931038337,-0.011969252363352431,0.13077402113727749,-0.30479686500962894,0.3441374432001016,-0.2129663099090268,-0.16191595972449435,-0.16249691359742027,-0.17852331337702984,-0.05232943400418537
HT_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,0.4581563170417334,-0.09608238002285203,-0.25335685657644463,0.4864049510023807,-0.25448392785739754,0.33337969740608403,0.10023036859342044,0.20402042644677487,0.2789200936256776,0.09407629474661075
OVTOKO_OVARY,-0.4673501593958956,0.03568247212165461,0.14826495592107425,-0.3897869465895029,0.32097862444508074,-0.09439994166471212,-0.24956152375304713,-0.2510602796955342,-0.43519354208719724,-0.20138729533508717
LS411N_LARGE_INTESTINE,0.35586837482437966,-0.17278864470571823,-0.045658193771393595,0.04506948775992895,0.023985938046245575,0.22222163335456663,-0.2191218482399404,-0.038165041310016655,0.17730278874791022,-0.02457215418563051
P12ICHIKAWA_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,0.595683302517445,-0.0315270457400694,-0.3484468517734257,0.6561409609668173,-0.45493296140639405,0.2995460637609695,0.23885161159593962,0.43256196264031177,0.5433969157544107,0.19794003812205085
LCLC103H_LUNG,-0.19260488078492816,-0.007397766609214325,0.09651560018702351,-0.20764337975862163,0.14193721069055126,-0.17130185448730623,0.004401100141043066,-0.16646160066404922,-0.12533504971964607,-0.08389960380563441
FU97_STOMACH,-0.13890245147444025,0.03617018055824303,0.14802666137679957,-0.2988107027471304,0.16445903111934015,0.0491940224351825,-0.2198423491416535,-0.12214711713935773,-0.13756204433821106,-0.13794867588099013
TOV112D_OVARY,-0.04022336136413166,-0.0007245765606408508,-0.029499861398958268,-0.10181612680703442,-0.0003573355968089151,0.10345299213216826,-0.008210701638427194,0.1749338709096409,0.04028370965803951,0.007675486321052853
PSN1_PANCREAS,-0.031136791628628972,-0.08839782332065615,0.06820319644693,-0.31675364433581915,0.25268112188012015,0.05861752781293631,-0.25688682794751994,-0.27389350994343964,-0.06395474144281421,0.02765913582222801
SW1353_BONE,-0.4273971134631894,0.0770394171357377,0.10195940136953231,-0.20211173148467154,-0.00656928752737522,-0.22223242724037842,0.06300107067309736,-0.10208302791471174,-0.26818036726948324,-0.19310670622964204
SW1990_PANCREAS,-0.27484716639072193,-0.0008884808706675976,0.14228422473914837,-0.30546556704244215,0.24892266289139303,-0.02149562521058271,-0.22659465821800334,-0.22543351493488634,-0.4582869260605681,-0.03321903810714288
TOLEDO_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,0.40490723177528953,0.04651806493029838,-0.3217278020073868,0.54971591311105,-0.3285331450117797,0.24157993784431242,0.20972191806840101,0.3158960688076602,0.28077124652077307,0.15386624466768173
EFO21_OVARY,-0.1158284132276482,0.004891309722373671,0.15924005045813797,-0.22654406127727605,0.28999373246004817,-0.06055487601187427,-0.12522163989216611,-0.24365591178039642,-0.12881321433217144,0.014874746418259883
EN_ENDOMETRIUM,-0.06963473627483646,-0.01448214204067156,0.08670978261853468,-0.0521008437390131,-0.04588871945450263,0.09875277873651042,0.0012889555791910107,0.005568059901590245,-0.07439887276544156,0.011706527106524853
